field,ai_tool,reviewer_name,job_title,rating,review_title,date,job_category
디자인,Canva,Buscoby D.,Technical Specialist,5.0,"""Canva Review""","December 6, 2025",IT/개발
디자인,Canva,Raquel R.,Secretaria,5.0,"""Simples de usar e com resultados profissionais.""","October 20, 2025",기타
디자인,Canva,Nicole A.,CEOs,5.0,"""CANVA ROCKS""","November 22, 2025",경영/관리
디자인,Canva,Nupur R N.,Business Development Manager,5.0,"""Great!! Go-to app for all designing needs!!""","November 28, 2025",경영/관리
디자인,Canva,Veronica M.,Marketing Manager,5.0,"""Awesome for basic creative design""","October 9, 2025",경영/관리
디자인,Canva,5.0,Verified Reviewer,5.0,"""Great Tool for ANYONE Creating Content!""","November 27, 2025",검증된리뷰어
디자인,Canva,Raven P.,Graphic Designer,5.0,"""Design Powerhouse Canva Beats Adobe Products""","December 4, 2025",디자인/UX
디자인,Canva,Julie B.,Assistant Director of Finance and Operations,5.0,"""10/10 Highly recommend ""","December 3, 2025",IT/개발
디자인,Canva,Hawa L.,HRBP,4.0,"""The Canva Experience from a HR Perspective""","November 13, 2025",HR/인사
디자인,Canva,5.0,Verified Reviewer,5.0,"""Easy and Fun Graphic Design Tool ✅""","September 15, 2025",검증된리뷰어
디자인,Canva,Hiba H.,"Pet and animal content creator, and website management,",5.0,"""Canva Makes Design Easy and Pro""","September 2, 2025",IT/개발
디자인,Canva,Aneta S.,Owners,5.0,"""Canva – The Perfect Blend of Simplicity and Creativity""","September 3, 2025",경영/관리
디자인,Canva,Carlos N.,Proprietário,5.0,"""A great tool for anyone looking for practicality and professional results.""","August 23, 2025",기타
디자인,Canva,Becky R.,Musician,5.0,"""Business-saver, can't complain. It's incredible.""","November 16, 2025",기타
디자인,Canva,Nasywa A.,Student,5.0,"""Fast and Easy to design in Canva!""","June 26, 2025",교육/연구
디자인,Canva,4.0,Verified Reviewer,4.0,"""Herramienta versátil y fácil de usar para todo tipo de diseños""","July 29, 2025",검증된리뷰어
디자인,Canva,Rodgina W.,Admin Assistant Teacher,5.0,"""Design Like a Pro Without a Team My Honest Canva Review""","August 5, 2025",경영/관리
디자인,Canva,Ana V.,Digital Product Designer,5.0,"""Canva is a must-have tool for digital creators!""","August 6, 2025",IT/개발
디자인,Canva,4.0,Verified Reviewer,4.0,"""CANVA: Um software de design acessível para qualquer um""","July 24, 2025",검증된리뷰어
디자인,Canva,Gullit M.,RH,5.0,"""Un outil de design simple et puissant ""","May 13, 2025",기타
디자인,Canva,4.0,Verified Reviewer,4.0,"""Worth a try!""","July 17, 2025",검증된리뷰어
디자인,Canva,Dohee P.,Exhibition Coordinator,5.0,"""What’s Good in Canva""","September 19, 2025",IT/개발
디자인,Canva,Yvette M.,Math Department Chairperson,5.0,"""Most amazing product ever!""","June 21, 2025",기타
디자인,Canva,Claudia Patricia S.,CHRONIC WRITER,5.0,"""CANVA MY UNCONDITIONAL GRAPHIC SUPPORT""","April 29, 2025",IT/개발
디자인,Canva,Daniel D.,CTO,4.0,"""Herramienta de diseño sencilla, rápida e intuitiva.""","July 28, 2025",IT/개발
디자인,Canva,Cheyanne G.,Owner - Baker,5.0,"""LOVE LOVE LOVE""","December 4, 2025",경영/관리
디자인,Canva,Patrice C.,CEO,5.0,"""Canvas Moving A Head""","September 3, 2025",경영/관리
디자인,Canva,Virginie B.,Formatrice consultante,5.0,"""Indispensable!""","May 23, 2025",컨설팅/전략
디자인,Canva,Aaron C. B.,Senior Pastor,5.0,"""The best option for creating promotional material and presentations""","July 3, 2025",기타
디자인,Canva,Eric J.,CEO,5.0,"""Faster than comparable design software""","June 2, 2025",경영/관리
디자인,Canva,Cetiri T.,Senior manager,5.0,"""The best tool for content creators on the market""","September 16, 2025",경영/관리
디자인,Canva,Rachel B.,Owner,4.0,""" Canva for the win!""","June 29, 2025",경영/관리
디자인,Canva,Ashley B.,Educator,5.0,"""The ultimate game changer!""","September 16, 2025",기타
디자인,Canva,Victor H.,Diseñador gráfico,4.0,"""Canva: Versatilidad y eficiencia.""","April 3, 2025",기타
디자인,Canva,5.0,Verified Reviewer,5.0,"""Absolutely love and recommend Canva, professional and personal.""","May 8, 2025",검증된리뷰어
디자인,Canva,Anna M.,"owner, designer, webdeveloper",4.0,"""Great for simple projects, not so much for complex print ready files.""","May 6, 2025",IT/개발
디자인,Canva,Jolinda A.,"Founder, Lead Designer",5.0,"""Accessible, collaborative design software, limited professional print capabilitiesf""","May 12, 2025",디자인/UX
디자인,Canva,Greta E.,Communications Specialist,5.0,"""Greta 2025 Canva Review""","May 23, 2025",마케팅/영업
디자인,Canva,ileana H.,Scrum Master,5.0,"""power your creativity""","October 22, 2025",PM/PO
디자인,Canva,3.0,Verified Reviewer,3.0,"""Canva makes it possible for anyone to make a creative, polished product!""","April 30, 2025",검증된리뷰어
디자인,Canva,Stephanie E.,Secretary,4.0,"""Intuitive and user-frendly!""","July 21, 2025",기타
디자인,Canva,Alicia C.,Owner,5.0,"""The go-to design and creative tool for non-designers""","May 2, 2025",경영/관리
디자인,Canva,isabel A.,Tienda virtual,5.0,"""¨La mejor herramienta para crear diseños faciles y rapidos¨""","September 22, 2025",기타
디자인,Canva,Staci T.,Data Trainer,5.0,"""Canva is a must have for Creative Professionals!""","June 12, 2025",데이터/분석
디자인,Canva,Victoria W.,Owner and Crafter,4.0,"""Canva makes crafting and decorating so much easier for me!""","September 5, 2025",경영/관리
디자인,Canva,5.0,Verified Reviewer,5.0,"""Perfect for non-designers!""","July 4, 2025",검증된리뷰어
디자인,Canva,5.0,Verified Reviewer,5.0,"""Game-Changer for Non-Designers and Pros Alike""","August 8, 2025",검증된리뷰어
디자인,Canva,Ashley E.,Administrative Coordinator,5.0,"""10/10 for Beginning Designers""","November 12, 2025",경영/관리
디자인,Canva,Kyle D.,Kyle D.,5.0,"""Reliable design platform for professional operations""","August 20, 2025",기타
디자인,Canva,Zachary G.,Co-Owner,5.0,"""Canva is the perfect design platform for Marketers.""","April 16, 2025",경영/관리
디자인,Canva,Kennedy H.,HR Manager,4.0,"""Canva Enables Teamwork and Increases Quality of Design ""","September 5, 2025",경영/관리
디자인,Canva,Nicole F.,Training Manager,5.0,"""Canva is WORTH the investment!""","December 4, 2025",경영/관리
디자인,Canva,Rashmi A.,Graphic design,5.0,"""Canva best features elaborated.""","March 20, 2025",디자인/UX
디자인,Canva,Lisa R.,Owner,5.0,"""Canva: My Small Biz Secret Weapon""","October 1, 2025",경영/관리
디자인,Canva,Dr. Sudheer A.,Academic Director,5.0,"""Canva - Nothing but the Best ""","March 30, 2025",IT/개발
디자인,Canva,Amber L.,People Reporting and Communications Officer,5.0,"""Turned me into a graphic designer in 5 minutes!""","July 15, 2025",데이터/분석
디자인,Canva,Hannah M.,Creative Arts Coordinator,5.0,"""As user-friendly as it gets!""","May 14, 2025",디자인/UX
디자인,Canva,Adolphus O.,"Creative Director, Photography and Multimedia",5.0,"""Opara Canva Filled Insight""","July 2, 2025",IT/개발
디자인,Canva,Michael B.,Online-Agentur,4.0,"""Wozu Alternativen suchen, wenn du CANVA hast!""","August 18, 2025",기타
디자인,Canva,Penny P.,Manager,5.0,"""Great for professional looking social media posts""","March 14, 2025",경영/관리
디자인,Canva,Michael G.,Partner,5.0,"""Great all around graphic program for most users.""","November 29, 2025",기타
디자인,Canva,Nishant T.,Sr. Analyst,5.0,"""Canva world - Effortless design for everyday creativity""","July 2, 2025",데이터/분석
디자인,Canva,Xavier C.,Creator,4.0,"""Canva is a quiick and easy to use partner for your social media content or presentations""","March 13, 2025",기타
디자인,Canva,5.0,Verified Reviewer,5.0,"""Canva platform review""","March 15, 2025",검증된리뷰어
디자인,Canva,1.0,Verified Reviewer,1.0,"""Don't agree to a free trial, unless you're prepared to be their client forever.""","June 19, 2025",검증된리뷰어
디자인,Canva,Emma J.,Director of Operations,5.0,"""I was reluctant, but so worth it!""","April 24, 2025",IT/개발
디자인,Canva,DANIELLYS D.,DIRECTOR,4.0,"""Lo que me gusta y lo que no de CANVA""","September 29, 2025",IT/개발
디자인,Canva,Mikaela H.,Manager,5.0,"""Canva Review""","March 30, 2025",경영/관리
디자인,Canva,Kate B.,Photographer,5.0,"""My Creative Backbone, Easy, Powerful, and Flexible""","October 19, 2025",미디어/콘텐츠
디자인,Canva,Diane F.,Owner,5.0,"""Canva is good, but doesn't do everything""","April 14, 2025",경영/관리
디자인,Canva,Cindie O.,Solopreneur,5.0,"""Canva - Easy to Use and Love""","June 29, 2025",기타
디자인,Canva,Emilia Cristina B.,Design,5.0,"""Com o Canva você dá Asas a sua Imaginação. ""","March 12, 2025",디자인/UX
디자인,Canva,Feraud O.,Owner,5.0,"""The perfect tool for your business to create graphics and more""","July 17, 2025",경영/관리
디자인,Canva,Luis R.,Dueño,5.0,"""Excelente para crear y ganar!""","August 10, 2025",기타
디자인,Canva,Yolandi E.,Founder,5.0,"""Confessions of a Canva Groupie: Is It Still the Best?""","March 2, 2025",경영/관리
디자인,Canva,Aadhithyan R.,Freelance Designer,4.0,"""Highly useful for students and content creators""","June 23, 2025",디자인/UX
디자인,Canva,Laura C.,Office Manager,5.0,"""Easy and fun to use! ""","May 9, 2025",경영/관리
디자인,Canva,Alexandra L.,Customer success manager,5.0,"""Excellent online graphic design tool ""","April 29, 2025",경영/관리
디자인,Canva,4.0,Verified Reviewer,4.0,"""Herramienta fácil e intuitiva para crear contenido en redes sociales""","February 26, 2025",검증된리뷰어
디자인,Canva,Abhishek L.,Management Trainee - Plan Analyst,5.0,"""Canva : Your go to tool for effortless designs""","February 19, 2025",데이터/분석
디자인,Canva,Pedro C.,CEO,5.0,"""I like Canva because it is practical and agile ""","October 16, 2025",경영/관리
디자인,Canva,Carmen E.,Sales Supervisor,5.0,"""Canva is a great budget-friendly alternative to Photoshop""","April 19, 2025",경영/관리
디자인,Canva,Melisa M.,Development Director,5.0,"""Great content development tool that just keeps getting better""","September 18, 2025",IT/개발
디자인,Canva,Amanda G.,Practice Manager,5.0,"""Why Not Canva??""","July 28, 2025",경영/관리
디자인,Canva,Pradeep K.,Teaching Professional,4.0,"""Go-to tool for the creators on the go""","February 20, 2025",기타
디자인,Canva,Funom A.,Management Development,5.0,"""Design Made Easy with Canva Software!""","February 18, 2025",PM/PO
디자인,Canva,Al D.,Residence Supervisor,5.0,"""User Friendly design tool that can be used to create anything creative""","March 2, 2025",경영/관리
디자인,Canva,Francesco D.,CEO,5.0,"""Great tool to have, for a very little price""","July 7, 2025",경영/관리
디자인,Canva,Kira J.,Copywriter,5.0,"""Turned a writer into a designer ""","July 11, 2025",IT/개발
디자인,Canva,Vinita A.,Student,4.0,"""Your creative partner ""","March 16, 2025",교육/연구
디자인,Canva,Cathy N.,E-Commerce,5.0,"""CANVA is a have to have!""","August 7, 2025",기타
디자인,Canva,Jennifer K.,Office Administrator,5.0,"""Very Pleased with Canva ""","March 24, 2025",경영/관리
디자인,Canva,Daniel B.,Marketing and Administrative Team Manager,4.0,"""The Absolute Best Graphic Design Software""","February 15, 2025",경영/관리
디자인,Canva,Nick T.,Assistant Property Manager,5.0,"""Is There Anything Canva Can't Do?""","February 11, 2025",경영/관리
디자인,Canva,Luana A.,Diretora,5.0,"""Aplicativo Excelente de edições.""","July 27, 2025",기타
디자인,Canva,Matthieu N.,Community Manager,5.0,""".Fantastic for all in one marketing""","August 3, 2025",IT/개발
디자인,Canva,5.0,Verified Reviewer,5.0,"""Essential and easy to use software for Marketing teams""","July 21, 2025",검증된리뷰어
디자인,Canva,Nolan W.,Head of Sales,5.0,"""Canva- Create Luxury Branding in Minutes""","February 13, 2025",경영/관리
디자인,Canva,Pablo R.,Interior Designer,5.0,"""My go-to for short form client mood boards & presentations.""","July 15, 2025",디자인/UX
디자인,Canva,Akhilesh D.,rural sales pramoter,4.0,"""""Canva: The design tool that unleashes your creativity""""","February 27, 2025",마케팅/영업
디자인,Canva,Emily J.,Owner,5.0,"""Canva is Fantastic! ""","December 5, 2025",경영/관리
디자인,Canva,Veronica C.,Digital Media Strategist,5.0,"""Give Canva A Try""","August 20, 2025",IT/개발
디자인,Canva,Eleanor C.,Nail tech,4.0,"""A brilliantly helpful tool!""","November 27, 2025",기타
디자인,Canva,Nemanja V.,Web designer and marketing specialist,5.0,"""Canva review""","September 20, 2025",디자인/UX
디자인,Canva,Karen M.,Managing Editor,5.0,"""Creative design and team collaboration for publishers""","November 12, 2025",IT/개발
디자인,Canva,Jack M.,Senior VP of Finance,5.0,"""Easiest Creation Tool for the Price""","February 4, 2025",경영/관리
디자인,Canva,Jonah P.,Marketing,4.0,"""Ease of use""","June 17, 2025",마케팅/영업
디자인,Canva,Eli C.,development specialist,4.0,"""Canva is a wonder!""","August 22, 2025",PM/PO
디자인,Canva,Lucynda C.,Editor,5.0,"""My Canva Experience""","March 6, 2025",IT/개발
디자인,Canva,Heather W.,Owner,4.0,"""A good choice for your own designs ""","January 30, 2025",경영/관리
디자인,Canva,5.0,Verified Reviewer,5.0,"""In Love with Canva""","July 28, 2025",검증된리뷰어
디자인,Canva,Aaron G.,Membership and Development Director,5.0,"""Canva Good - Minus Video Editing""","July 10, 2025",IT/개발
디자인,Canva,Jennifer C.,Agent,5.0,"""Creative Multitool For Marketing Your Business ""","August 17, 2025",기타
디자인,Canva,Stephanie T.,Content creator,5.0,"""Canva is my go to design hub!""","April 23, 2025",마케팅/영업
디자인,Canva,LaVahn T.,Owner Design Specialist,5.0,"""Canva for the WIN!!!!""","February 23, 2025",디자인/UX
디자인,Canva,Kirstie S.,MD,5.0,"""An Essential, Easy-to-Use Design Tool That Keeps Getting Better""","August 14, 2025",기타
디자인,Canva,5.0,Verified Reviewer,5.0,"""Experience with Canva""","January 21, 2025",검증된리뷰어
디자인,Canva,Alize B.,Business Lead,4.0,"""Really good for beginners""","February 15, 2025",경영/관리
디자인,Canva,Alan J.,Servente,5.0,"""I really like Canva because it's very practical and easy to use.""","January 16, 2025",기타
디자인,Canva,Amanda Lynn B.,Co Owner,5.0,"""A Graph Art Super Star""","January 19, 2025",경영/관리
디자인,Canva,Gayara R.,Creative Director,5.0,"""Still a Big Fan After Using Canva Pro Since 2018""","August 5, 2025",IT/개발
디자인,Canva,Karen Cristina M.,Vendedora e gestora,5.0,"""Vendedora de Rações na Junipe Rações ""","February 8, 2025",기타
디자인,Canva,JOSE C.,SERVIÇO ONLINE,5.0,"""Canva: Easy and Accessible Creativity for Everyone""","July 1, 2025",기타
디자인,Canva,Joshua O.,Learning and Development Specialist,5.0,"""Canva, an awesome tool for easy and creative content creation.""","November 24, 2025",PM/PO
디자인,Canva,Charlotte O.,Etudiante en informatique,5.0,"""Canva, mon outil essentiel""","January 13, 2025",기타
디자인,Canva,Jeff B.,Veterans Project Director,5.0,"""Versatility and ease of use""","January 16, 2025",IT/개발
디자인,Canva,5.0,Verified Reviewer,5.0,"""Our number one go to design tool""","September 13, 2025",검증된리뷰어
디자인,Canva,5.0,Verified Reviewer,5.0,"""Create with Canva ""","September 11, 2025",검증된리뷰어
디자인,Canva,EDSON A.,Professor,5.0,"""GREAT APPLICATION FOR CREATING POST ON SOCIAL MEDIA""","January 25, 2025",교육/연구
디자인,Canva,Maria E D.,Affiliate Marketer,5.0,"""Canva facilita el diseño colaborativo""","June 19, 2025",마케팅/영업
디자인,Canva,Iadara C.,Estilista,5.0,"""Review Canva ""","February 25, 2025",기타
디자인,Canva,5.0,Verified Reviewer,5.0,"""Lots of features""","September 30, 2025",검증된리뷰어
디자인,Canva,Renato V.,Professor,5.0,"""I really like Canva because it's very easy to use""","February 4, 2025",교육/연구
디자인,Canva,João Paulo D.,Funcionário,5.0,"""O poder do Canva.""","March 17, 2025",기타
디자인,Canva,Davia M.,Student,5.0,"""Let’s make a design!""","January 17, 2025",교육/연구
디자인,Canva,Leila C.,Administrative Assistant,5.0,"""Canva is a must have for all graphic designers""","May 23, 2025",경영/관리
디자인,Canva,5.0,Verified Reviewer,5.0,"""avaliação canva""","January 15, 2025",검증된리뷰어
디자인,Canva,Anamaria D.,Owner,5.0,"""Canva is the tool I've dreamed about - I simply love it!""","January 10, 2025",경영/관리
디자인,Canva,Haroldas Z.,Haroldas Z.,5.0,"""Canva is one of the best solutions for your work.""","May 5, 2025",기타
디자인,Canva,Jacob B.,Founder,5.0,"""Opens up the option of design for non-technical people""","August 9, 2025",경영/관리
디자인,Canva,Tiago R.,UX UI,5.0,"""BOM PARA INICIANTES""","January 2, 2025",디자인/UX
디자인,Canva,4.0,Verified Reviewer,4.0,"""Excelente herramienta para el diseño basico de ilustraciones para prinicipiantes.""","January 29, 2025",검증된리뷰어
디자인,Canva,Meeka O.,Teacher,5.0,"""Canva its more than a canvas""","June 18, 2025",교육/연구
디자인,Canva,Melina K.,Studente,4.0,"""Due lati di Canva""","September 10, 2025",교육/연구
디자인,Canva,Emily J.,Graphic Designer and Operations Manager,5.0,"""Great for Everyone!""","June 6, 2025",디자인/UX
디자인,Canva,Johanna K.,Senior Manager of Communications,5.0,"""Exactly what scrappy creative teams of ONE need! ""","April 3, 2025",경영/관리
디자인,Canva,Teri H.,Chief Operating Officer,5.0,"""Canva = Creativity Time Saver""","May 18, 2025",경영/관리
디자인,Canva,Heldor G.,Marketing Manager,5.0,"""Best Tool for Marketing and Graphic Design. ""","February 26, 2025",경영/관리
디자인,Canva,Shella G.,Marketing Specialist,5.0,"""Easiest Graphic Design Tool Ever""","December 25, 2024",마케팅/영업
디자인,Canva,Jessica L.,Owner and Founder,5.0,"""Canva's great for teams, non-designers, designers, and creativity boosts -- just be careful about going off-brand!""","December 28, 2024",경영/관리
디자인,Canva,Mitch D B.,Affiliate Marketer,4.0,"""Canva es tu mejor asistente grafico""","June 8, 2025",마케팅/영업
디자인,Canva,Eddie W.,Eddie W.,5.0,"""Great value for the money! ""","September 8, 2025",기타
디자인,Canva,5.0,Verified Reviewer,5.0,"""Not sure where to start? Start with Canva!""","August 16, 2025",검증된리뷰어
디자인,Canva,Rebeca D.,Auxiliar Administrativo,5.0,"""Canva e sua acessibilidade ""","February 9, 2025",디자인/UX
디자인,Canva,5.0,Verified Reviewer,5.0,"""Canva review""","September 25, 2025",검증된리뷰어
디자인,Canva,Laura E.,Administrative Assistant,5.0,"""I love Canva!""","January 28, 2025",경영/관리
디자인,Canva,Jacqueline C.,Brand Designer,3.0,"""Canva is for the Uneducated Designer""","December 18, 2024",디자인/UX
디자인,Canva,Kathleen T.,Programador,5.0,"""Experiencia com o Canva ""","April 29, 2025",기타
디자인,Canva,5.0,Verified Reviewer,5.0,"""Best tool for college slideshows""","February 1, 2025",검증된리뷰어
디자인,Canva,Percival F.,Owner,5.0,"""A New Streamer's Best Friend""","July 10, 2025",경영/관리
디자인,Canva,Crystal O.,Library Media Specialist,5.0,"""Canva - convenient and cool!""","December 8, 2025",미디어/콘텐츠
디자인,Canva,Suhail H.,QA Member,5.0,"""Quick editing tool that helped me a lot.""","April 24, 2025",IT/개발
디자인,Canva,Rachel A.,Director,5.0,"""More than just a graphic design solution""","December 10, 2024",IT/개발
디자인,Canva,MaryBeth O.,Operations Manager,5.0,"""Good Design Program For Beginners""","December 23, 2024",경영/관리
디자인,Canva,Tess M.,Doula,4.0,"""Absolutely great, paid subscription not needed""","May 22, 2025",기타
디자인,Canva,John M.,Senior Software Engineer,5.0,"""A Stunning and Indomitable Graphic Design Tool.""","May 21, 2025",IT/개발
디자인,Canva,Jennsy Suyapa F.,Freelancer,5.0,"""The Wonder Tool of a Freelancer""","October 31, 2025",프리랜서
디자인,Canva,Jennifer S.,Owner and Designer,5.0,"""Everything I know about graphic design I learned using Canva!""","December 17, 2024",디자인/UX
디자인,Canva,Stephen B.,"VP, Marketing",5.0,"""Essential for Marketers""","March 27, 2025",경영/관리
디자인,Canva,Sean C.,Marketer,5.0,"""The best and most intuitive design tool for the lay person""","November 10, 2025",마케팅/영업
디자인,Canva,Andres C.,Training and Enablement Manager,4.0,"""Massive Library and easy to use!""","August 7, 2025",경영/관리
디자인,Canva,Phoenix B.,Engagement Assistant,5.0,"""Very useful for graphics ""","July 3, 2025",기타
디자인,Canva,Dayana B L.,Affiliate Marketer,4.0,"""Una herramienta de diseño versatil y practica""","May 11, 2025",마케팅/영업
디자인,Canva,Kimberly J.,high school librarian,5.0,"""Canva is a must for teachers and anyone who makes signage regularly!""","May 9, 2025",기타
디자인,Canva,Kimberly Q.,Career Coach,5.0,"""Ease of collaboration for professional looking material!""","May 28, 2025",기타
디자인,Canva,Stacy M.,Accountant,5.0,"""Powerful Tool""","November 26, 2025",마케팅/영업
디자인,Canva,Nicolas T.,Program Manager II,5.0,"""easy and fun to use ""","August 7, 2025",경영/관리
디자인,Canva,Destiny C.,Owner,5.0,"""Canva-natic""","October 24, 2025",경영/관리
디자인,Canva,Kelly M.,Social Media Manager,5.0,"""I Can Create Anything With Canva""","April 23, 2025",경영/관리
디자인,Canva,Savannah R.,"Owner, Doctor of Chiropractic",5.0,"""Excellent creative program! ""","November 12, 2025",IT/개발
디자인,Canva,Chelsea G.,Marketing,5.0,"""Love Canva!""","November 19, 2025",마케팅/영업
디자인,Canva,Juliana S.,Marketing Manager,5.0,"""A lot more efficient of a design tool than some may think""","May 2, 2025",경영/관리
디자인,Canva,LOKENDRA T.,Owner,4.0,"""Kindly add some designer tools overall ratings 5/4""","July 4, 2025",경영/관리
디자인,Canva,Denise R.,analista,5.0,"""I like Canva because it's easy to use.""","March 10, 2025",기타
디자인,Canva,Igor Yann Patient S.,Designer,3.0,"""Canva review""","September 2, 2025",디자인/UX
디자인,Canva,Chris W.,Web Supervisor,5.0,"""Canva is a great tool for a collaborative workflow.""","June 13, 2025",경영/관리
디자인,Canva,Shelby C.,Partner,5.0,"""Print Business Cards Quickly""","November 24, 2024",기타
디자인,Canva,Raíssa G.,Diretora,4.0,"""Praticidade e versatilidade na palma da mão.""","December 26, 2024",기타
디자인,Canva,Becky M.,Realtor,5.0,"""Save Time and Money""","November 29, 2024",기타
디자인,Canva,Ashley P.,Assistant to Founder and Chaos Coordinator,5.0,"""Canva for Life!""","December 2, 2024",경영/관리
디자인,Canva,Ariana R. C.,Artist,5.0,"""Canva has everything to help make both your work and personal life easier""","November 29, 2024",디자인/UX
디자인,Canva,Juliet D.,Content Creator,5.0,"""Good software for beginners but becoming more complicated""","January 27, 2025",마케팅/영업
디자인,Canva,Mike K.,Warehouse Manager,5.0,"""Great Design Software for Online or Print""","July 5, 2025",경영/관리
디자인,Canva,Fiona M.,Director,5.0,"""Perfect Canva! ""","May 18, 2025",IT/개발
디자인,Canva,Laurent G.,Dirigeant,5.0,"""Complet, facile et accessible ""","October 9, 2025",기타
디자인,Canva,Renee L.,HR Coordinator,5.0,"""The best graphic design tool there is""","August 7, 2025",경영/관리
디자인,Canva,Erika W.,Photographer,5.0,"""Versatile Website""","July 11, 2025",미디어/콘텐츠
디자인,Canva,Jette S.,Jette S.,5.0,"""Abobe für Anfänger""","January 29, 2025",기타
디자인,Canva,Camila G.,todos os serviços,5.0,""" Sincere opinion""","May 27, 2025",기타
디자인,Canva,Phil R.,UX Lead,4.0,"""Ideal for small businesses""","November 29, 2025",디자인/UX
디자인,Canva,David G.,Human Resources Manager,5.0,"""A Pulchritudinous and Efficacious Graphic Design Tool. ""","March 12, 2025",경영/관리
디자인,Canva,Gabriel O.,Developer,5.0,"""Canva is automated office, word, excel, premier pro ""","March 24, 2025",IT/개발
디자인,Canva,Megan K.,Center Director,5.0,"""Great tool for beginners""","April 19, 2025",IT/개발
